Dam: Nooitgedacht Dam , FSC: 78.343000000000004 , Dam level: 50.543999999999997
Dam: Vygeboom Dam , FSC: 78.02 , Dam level: 51.295000000000002
Dam: Driekoppies Dam , FSC: 250.92 , Dam level: 109.74
Dam: Maguga Dam, FSC: 333.75 , Dam level: 98.8
Dam: Longmere Dam , FSC: 4.202 , Dam level: 2.537
Dam: Klipkopjes Dam , FSC: 11.776999999999999 , Dam level: 5.379
Dam: Witklip Dam , FSC: 12.519 , Dam level: 4.926
Dam: Primkop Dam , FSC: 1.899 , Dam level: 0.278
Dam: Kwena Dam , FSC: 158.88999999999999 , Dam level: 76.644000000000005
Dam: Da Gama Dam, FSC: 13.526 , Dam level: 7.826
Dam: Inyaka Dam , FSC: 123.66 , Dam level: 78.468000000000004
